post_title,post_content,tax_area,shop_catch,shop_tel,shop_hours,shop_address,shop_line,official_url,review_star,recommend_text,shop_holiday,shop_booking,shop_parking,basic_price,price_textarea,price_90,price_120,price_150,price_50,price_60,price_70,price_80,price_100,price_180,price_extension,price_nomination,age_18,age_20,age_25,age_30,age_35,age_40,therapist_1_name,therapist_1_img,therapist_1_text,therapist_1_url,therapist_2_name,therapist_2_img,therapist_2_text,therapist_2_url,therapist_3_name,therapist_3_img,therapist_3_text,therapist_3_url,area_avg_90,area_avg_120,area_avg_150,area_ranking_pickup
aroma story’s（アロマ ストーリーズ）,,京橋,,080-7954-8027,12:00～23:00（最終受付20:30）,大阪市都島区東野田町2丁目,https://line.me/R/ti/p/~aroma503,,,,不定休,完全予約制,,11000,,11000,15000,19000,,,,,,,5000,1000,0,2,2,2,0,0,,,,,,,,,,,,,,,,
ARUJI（アルジ）,,京橋,,070-9118-4494,12:00～翌5:00（24時間受付）,大阪市城東区蒲生1丁目,https://line.me/R/ti/p/~arujiaruji2024,,,,不定休,完全予約制,,12000,,,15000,18000,,,,,12000,24000,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
BELLO SAVON（ベロサボン）,,京橋,,080-3866-0300,10:00～翌3:00（受付時間9:00～翌1:30）,大阪市都島区東野田町1丁目,https://line.me/R/ti/p/~bello_savon,,,,年中無休,完全予約制,,15000,,15000,20000,25000,,,12000,,,30000,6000,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
BEST STAR（ベストスター）,,京橋,,080-9476-3063,10:00～翌2:00（受付時間9:00～24:30）,大阪市都島区東野田町1丁目,https://line.me/R/ti/p/~beststarosaka,,,,不定休,完全予約制,,13000,,13000,18000,23000,,,11000,,,28000,,1000,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Dea spa（デアスパ）,,京橋,,080-8157-7072,11:00～23:00（最終受付22:00）,大阪市都島区東野田町1丁目,https://line.me/R/ti/p/~naramegu77,,,,不定休,完全予約制,,16000,,16000,20000,24000,,12000,,,,,,0,0,0,0,2,1,0,,,,,,,,,,,,,,,,
FURYU（フウリュウ）,,京橋,,080-4981-1607,10:00～翌5:00（受付時間9:30～翌3:00）,大阪市都島区東野田町4丁目,,,,,不定休,完全予約制,,13000,,13000,17000,21000,,,,,,25000,7000,1000,0,8,10,2,1,0,,,,,,,,,,,,,,,,
gentle（ジェントル）,,京橋,,070-7513-3087,12:00～翌5:00,大阪市城東区中央,https://line.me/R/ti/p/~930luyld,,,,不定休,完全予約制,,12000,,,15000,18000,,,,,12000,24000,,0,0,0,0,3,4,1,,,,,,,,,,,,,,,,
Mrs.Gold Tiara 京橋店（ミセスゴールドティアラ）,,京橋,,070-9116-7774,11:00～翌5:00（受付時間10:00～翌3:00）,大阪市都島区東野田町5丁目,,,,,不定休,完全予約制,,15000,,15000,20000,25000,,,,,,30000,6000,1000,0,0,0,0,0,0,,,,,,,,,,,,,,,,
桃華（ももか）,,京橋,,080-8002-3006,12:00～22:00（最終受付）,大阪市都島区東野田町,,,,,不定休,完全予約制,,14000,,14000,17000,21000,,12000,,,,25000,5000,1000,0,0,0,0,2,0,,,,,,,,,,,,,,,,
Mrs.Style（ミセススタイル）,,京橋,,070-9030-3399,10:00～翌5:00（最終受付）,大阪市都島区東野田町4丁目,https://line.me/R/ti/p/~mrs_style_osaka,,,,年中無休,完全予約制,,15000,,15000,20000,25000,,,,,,,6000,1000,0,1,9,5,3,1,,,,,,,,,,,,,,,,
joker（ジョーカー）,,京橋,,080-4642-0044,12:00～翌5:00（受付時間11:00～翌5:00）,大阪市都島区東野田町5丁目,,,,,年中無休,完全予約制,,12000,,,,,,,12000,,15000,,8000,1000,0,6,12,0,1,0,,,,,,,,,,,,,,,,
Reluman（リラマン）,,京橋,,070-2447-7168,10:00～翌4:00（受付時間9:30～翌2:00）,大阪市都島区東野田町2丁目,https://line.me/R/ti/p/~reluman5513,,,,年中無休,完全予約制,,16000,,16000,20000,24000,,,,,,28000,,,2,10,7,2,0,0,,,,,,,,,,,,,,,,
ステキSpa,,京橋,,080-6007-9299,10:00～翌5:00,大阪市都島区東野田町4丁目,https://line.me/R/ti/p/~sutekispa,,,,不定休,完全予約制,,16000,,16000,21000,26000,,,,,,,,1000,0,2,6,0,0,0,,,,,,,,,,,,,,,,
天雅（てんが）,,京橋,,080-5221-0003,10:00～翌1:00（最終受付）,詳細な所在地については、ご予約時にお問い合わせください 大きな地図で見る,https://line.me/R/ti/p/~tenga.net,,,,年中無休,完全予約制,,20000,,20000,29000,38000,,,,,,,,2000,0,1,6,4,1,0,,,,,,,,,,,,,,,,
1st the best（ファーストザベスト）,,堺筋本町,,080-5333-5610,10:00～翌5:00（受付時間9:00～翌2:00）,大阪市中央区久太郎町,https://line.me/R/ti/p/~1st.5610,,,,不定休,完全予約制,,12000,,12000,16000,20000,,,,,,24000,,1000,0,0,8,7,14,4,,,,,,,,,,,,,,,,
ミセスあまおうセラピ,,堺筋本町,,090-6758-6265,11:00～翌2:00（受付時間9:30～24:30）,大阪市中央区北久宝寺町1丁目,,,,,不定休,完全予約制,,12000,,12000,16000,20000,,,,,,24000,6000,1000,0,0,0,1,6,15,,,,,,,,,,,,,,,,
aqua SPA（アクアスパ）,,堺筋本町,,090-8686-1151,12:00～翌6:00（受付時間10:00～翌5:00）,大阪市中央区南久宝寺町2丁目,https://line.me/R/ti/p/~aqua.spa.osaka,,,,年中無休,完全予約制,,13000,,13000,17000,21000,,,11000,,,,6000,1000,1,25,12,0,0,0,,,,,,,,,,,,,,,,
美魔女セラピー,,堺筋本町,,080-8327-6366,10:00～翌3:00（最終受付）,大阪市中央区久太郎町,https://line.me/R/ti/p/~bimajo-6366,,,,年中無休,完全予約制,,13000,,13000,17000,21000,,,,,,25000,5000,1000,0,0,0,8,9,8,,,,,,,,,,,,,,,,
Bellucci（ベルッチ）,,堺筋本町,,070-2032-9596,10:00～24:00（受付時間9:00～22:30）,大阪市中央区博労町1丁目,https://line.me/R/ti/p/~07020329596,,,,年中無休,,,13000,,13000,18000,23000,,,,,,28000,6000,1000,0,0,4,4,4,2,,,,,,,,,,,,,,,,
CHILL OUT SPA（チルアウトスパ）,,堺筋本町,,080-9608-0808,10:00～翌5:00（最終受付翌3:30）,大阪市中央区久太郎町,https://line.me/R/ti/p/~035hfknk,,,,不定休,予約優先,,13000,,13000,18000,24000,,,,,,31000,,1000,0,11,9,2,0,0,,,,,,,,,,,,,,,,
心和 堺筋本町店（こより）,,堺筋本町,,090-8529-0546,11:00～翌3:00（受付時間10:00～翌3:00）,大阪市中央区久太郎町,https://line.me/R/ti/p/~124wkyjv,,,,不定休,完全予約制,,13000,,13000,17000,21000,,,,,,,5000,1000,0,0,4,4,6,3,,,,,,,,,,,,,,,,
E.S-DOLL Premium 本店（イーエスドールプレミアム）,,堺筋本町,,070-8526-8742,8:00～翌5:00（最終受付）,大阪市中央区久太郎町1丁目,https://line.me/R/ti/p/~768vcisk,,,,不定休,,,15000,,15000,19000,24000,,11000,,,,,6000,1000,5,18,17,0,0,0,,,,,,,,,,,,,,,,
Eminy Luxury（エミニーラグジュアリー）,,堺筋本町,,070-8963-7338,11:00～翌3:00,大阪市中央区南久宝寺町1丁目,https://line.me/R/ti/p/~eminy2025,,,,不定休,,,16000,,16000,22000,28000,,10000,,,,,,2000,4,28,2,0,0,0,,,,,,,,,,,,,,,,
en（エン）,,堺筋本町,,080-3102-5059,11:00～翌5:00（受付時間10:00～翌3:30）,大阪市中央区博労町,https://line.me/R/ti/p/~en_osaka,,,,不定休,完全予約制,,14000,,14000,18000,22000,,10000,,,,,,,0,7,19,9,3,2,,,,,,,,,,,,,,,,
